OBJECTID,INDEXKEY,STREET_NAME,ODD_LOW,ODD_HIGH,EVEN_LOW,EVEN_HIGH,LANES,CLASS,SPEED,Truck_Route,Name,Weight_res,Prefix,key2008,OneWay,Owner,Year_,Type,Inside_Outside_City,Total_Lane_Length,Prov_HGY,Designation,CityResponsibility,BlockPartyPermitted,RightofWayOwner,Priority,LEFT_LOW,LEFT_HIGH,RIGHT_LOW,RIGHT_HIGH,OK,Shape__Length
485,S093802,Grasse Circle,27,79,20,94,2,Residential,50 Km\hr,Not a Truck Route,Grasse,Local,Cercle,S093802,No,City,1961,Not a through street,,499.6272,,,,Yes,,,20,94,27,79,Y,249.79390731459
486,S082101,Claremont Drive,99,185,100,154,2,Residential,50 Km\hr,Not a Truck Route,Claremont,Local,Promenade,S082101,No,City,1985,Through Street,,1349.102,,,,Yes,,,99,185,100,154,Y,674.425799263053
487,S095901,Garnet Lane,7,21,20,20,2,Residential,50 Km\hr,Not a Truck Route,Garnet,Local,Allée,S095901,No,City,1996,Through Street,,193.3159,,,,Yes,,,7,21,20,20,Y,96.6579570436885
488,S092803,Diamond Street,125,187,146,184,2,Residential,50 Km\hr,Not a Truck Route,Diamond,Local,Rue,S092803,No,City,1998,Through Street,,435.8452,,,,Yes,,,125,187,146,184,Y,217.922585431752
489,S092901,McGregor Street,43,129,66,126,2,Residential,50 Km\hr,Not a Truck Route,McGregor,Local,Rue,S092901,No,City,1998,Through Street,,635.5736,,,,No,,,43,129,66,126,Y,317.786813981803
490,S088405,Royal Road,,,,,2,Minor Arterial,50 Km\hr,Designated Truck Route,Royal,No Restrictions,Chemin,S088405,No,City,1983,Through Street,,42.82579,,By Pass,Winter,No,Yes,,,,,,Y,21.4128953380737
492,S043201,Devonshire Drive,,,,,1,Major Arterial,60 Km\hr,Not a Truck Route,Devonshire,80% - DOT,Promenade,S043201,No,DOT,1981,Through Street,,62.78316,,,,No,,,,,,,,62.7831657146893
493,S021302,Lynhaven Street,213,213,208,208,2,Residential,50 Km\hr,Not a Truck Route,Lynhaven,Local,Rue,S021302,No,City,1968,Through Street,,76.629,,,,Yes,,,213,213,208,208,Y,38.3132397337533
494,S044203,Moore Street,133,139,132,212,2,Residential,50 Km\hr,Not a Truck Route,Moore,Local,Rue,S044203,No,Private,1973,Not a through street,,328.1262,,,,,,,132,212,133,139,Y,164.057302087865
495,S044202,Moore Street,129,131,128,130,2,Residential,50 Km\hr,Not a Truck Route,Moore,Local,Rue,S044202,No,Private,1973,Not a through street,,157.5756,,,,,,,128,130,129,131,Y,78.7877801290116
496,S012501,Byng Street,753,779,756,768,2,Residential,50 Km\hr,Not a Truck Route,Byng,Local,Rue,S012501,No,City,1957,Dead End,,225.452,,,,Yes,,,753,779,756,768,Y,112.725974285624
497,S043901,Secretary Lane,,,96,96,2,Residential,50 Km\hr,Not a Truck Route,Secretary,Local,Allée,S043901,No,City,1929,Through Street,,174.7135,,,,Yes,,,96,96,,,Y,87.3567617679721
498,S019905,King Street,459,473,476,490,2,Residential,50 Km\hr,Not a Truck Route,King,Local,Rue,S019905,No,City,1929,Through Street,,184.3317,,,,No,Yes,1,459,473,476,490,Y,92.1658422851588
499,S024905,Queen Street,457,497,462,590,2,Major Collector,50 Km\hr,Not a Truck Route,Queen,Local,Rue,S024905,Yes - West,City,1929,Through Street,,183.2346,,,,No,Yes,1,457,497,462,590,Y,91.6173285290808
500,S044001,Wilmot Alley,,,,,2,Residential,50 Km\hr,Not a Truck Route,Wilmot,Local,Allée,S044001,No,City,1929,Through Street,,245.6422,,,,Yes,,,,,,,Y,122.821116214043
501,S028313A,Union Street,697,721,692,720,2,Major Arterial,50 Km\hr,Designated Truck Route,Union,No Restrictions,Rue,S028313,No,City,1973,Through Street,,150.9046,,Designated,Year Round,No,Yes,1,697,721,692,720,Y,75.4522817725202
502,S017003,Gibson Street,161,161,168,168,2,Minor Arterial,50 Km\hr,Not a Truck Route,Gibson,60% - City Bylaw,Rue,S017003,No,City,1958,Through Street,,82.80395,,,,No,Yes,1,161,161,168,168,Y,41.4019732749476
