X,Y,OBJECTID,Location,Type,Date,Info,NoCrossings,CrSide,Number,CivicNo,Street,NumberCrossing,Sharing,History
-66.651603086191301,45.946189828583847,287,Regent @ Squires,,,,,,3,,,,,
-66.659560347497134,45.942381929828308,288,Priestman @ Lisgar,,,,,,3,425,Priestman,,,
-66.638953578664371,45.957347056792912,289,St John @ George,,,,,,4,,,,,
-66.636698486652321,45.956385658726262,290,Church @ George,,,,,,4,,,,,
-66.634238600647265,45.955388747941313,291,University @ George,,,,,,3,,,,,
-66.635497650519284,45.953839884570122,292,University @ Shore ,,,,,,3,,,,,
-66.638349156567799,45.954503012235584,293,Church @ Churchill,,,,,,4,,,,,
-66.640587106357785,45.955452497125968,294,St John @ Churchill,,,,,,4,,,,,
-66.639753305420371,45.956405752212532,295,St John @ Charlotte,,,,,,4,,,,,
-66.642773995394492,45.956425806508328,296,Regent @ Churchill,,,,,,3,,,,,
-66.635867877797011,45.958672000704787,297,King @ Secretary,,,,,,3,,,,,
-66.635306287761125,45.9593273260746,298,Queen @ Secretary,,,,,,2,,,,,
-66.650187640944367,45.965331493183861,299,Queen @ Smythe,,,,,,2,,,,,
-66.64193133513254,45.953915359820279,300,St John @ Scully,,,,,,3,,,,,
-66.64249279183673,45.953260000594305,301,St John @ McLeod,,,,,,3,,,,,
-66.64042521164717,45.952179411553445,302,McLeod @ Church,,,,,,3,,,,,
-66.643496494594714,45.952056550965423,303,Beaverbrook @ Tweedsmuir,,,,,,3,,,,,
-66.632544423320468,45.953426764763556,304,Waterloo @ Shore,,,,,,3,,,,,
-66.63271107536886,45.951760170956405,305,Waterloo @ Lansdowne,,,,,,3,,,,,
-66.634690964822255,45.951936385882576,306,Lansdowne @ Kensington,,,,,,3,,,,,
-66.634878614227091,45.951912358176585,307,Lansdowne @ Winslow,,,,,,3,,,,,
-66.636978055796618,45.952124101327932,308,University @ Lansdowne,,,,,,3,,,,,
-66.637828726127879,45.951099427860477,309,University @ Grey,,,,,,3,,,,,
-66.635148678536979,45.950697946094031,310,Grey @ Winslow,,,,,,4,,,,,
-66.633032062748157,45.950414773182921,311,Waterloo @ Grey,,,,,,3,,,,,
-66.638271023938572,45.950551359580253,312,University @ Avondale,,,,,,3,,,,,
-66.638883472482107,45.949812636288129,313,University @ Alexandra,,,,,,3,,,,,
-66.635639653810614,45.94911428231331,314,Alexandra @ Winslow,,,,,,3,,,,,
-66.634270967363534,45.947628048940388,315,Waterloo @ Acacia,,,,,,3,,,,,
